region_i,region_j,deltaE00,deltaE76
gamut_001_my,gamut_002_mymyy,4.804345073860816,6.730317943205713
gamut_001_my,gamut_003_myy,7.032188393382464,9.714376180417297
gamut_001_my,gamut_004_ymyy,10.775443205132577,14.858906509117986
gamut_001_my,gamut_005_yymyy,11.613337781609172,16.092747757864235
gamut_001_my,gamut_006_y,41.49969892615398,64.00488871544614
gamut_001_my,gamut_007_yycyy,41.61812433981001,59.70267492155422
gamut_001_my,gamut_008_ycyy,41.76795898070565,59.26367086965416
gamut_001_my,gamut_009_cyy,41.769022147066,58.72790484670999
gamut_001_my,gamut_010_cycyy,41.9344350454664,58.59627431657232
gamut_001_my,gamut_011_cy,41.90224545487019,57.60555781722329
gamut_001_my,gamut_012_ccycy,40.74738918791576,54.549576298285906
gamut_001_my,gamut_013_ccy,39.89246338558427,53.09263837368649
gamut_001_my,gamut_014_ccyc,38.40270397823123,52.24041374474059
gamut_001_my,gamut_015_ccycc,37.001040032400844,53.221698358691256
gamut_001_my,gamut_016_c,39.169120970866196,76.68404111486993
gamut_001_my,gamut_017_ccmcc,37.91611092850598,71.20579999558211
gamut_001_my,gamut_018_ccmc,37.96858058576952,70.05002835193179
gamut_001_my,gamut_019_ccm,37.36371179960566,66.92252820431621
gamut_001_my,gamut_020_ccmcm,37.204357009747774,66.10552276510452
gamut_001_my,gamut_021_cm,36.601417404430855,63.80406026707623
gamut_001_my,gamut_022_cmcmm,35.957414115808625,62.31557246634846
gamut_001_my,gamut_023_cmm,35.48660778818259,60.880798917820144
gamut_001_my,gamut_024_mcmm,34.491539369424366,57.92862236554483
gamut_001_my,gamut_025_mmcmm,33.908577053037185,57.03321112052052
gamut_001_my,gamut_026_m,28.84577039667311,49.02696074087125
gamut_001_my,gamut_027_mmymm,17.991178050768905,25.81781290002877
gamut_001_my,gamut_028_mmym,14.251951061527093,19.873894126064922
gamut_001_my,gamut_029_mmy,8.902055760641662,12.037338924500602
gamut_001_my,gamut_030_mmymy,5.445609371814949,7.3864458390254395
gamut_002_mymyy,gamut_003_myy,2.2746953592416452,3.0969173111593786
gamut_002_mymyy,gamut_004_ymyy,6.021671542800606,8.213021679366351
gamut_002_mymyy,gamut_005_yymyy,6.860659882288789,9.450522275506327
gamut_002_mymyy,gamut_006_y,37.03294741273215,57.612883364756975
gamut_002_mymyy,gamut_007_yycyy,37.53557439795676,54.714309029548744
gamut_002_mymyy,gamut_008_ycyy,37.796184800333876,54.57180350061151
gamut_002_mymyy,gamut_009_cyy,37.94024624359343,54.37945466354115
gamut_002_mymyy,gamut_010_cycyy,38.15749886217996,54.4229931598762
gamut_002_mymyy,gamut_011_cy,38.2886079636107,53.92652473673354
gamut_002_mymyy,gamut_012_ccycy,37.533357657759126,51.993929349707436
gamut_002_mymyy,gamut_013_ccy,36.976456815201125,51.35914094888827
gamut_002_mymyy,gamut_014_ccyc,36.119488869976266,52.14521218401501
gamut_002_mymyy,gamut_015_ccycc,35.43699098419648,54.19924061169631
gamut_002_mymyy,gamut_016_c,41.49020918590022,81.6700561932225
gamut_002_mymyy,gamut_017_ccmcc,40.96282906826507,76.57610070005633
gamut_002_mymyy,gamut_018_ccmc,41.19560997961791,75.5256866117627
gamut_002_mymyy,gamut_019_ccm,40.74188920295022,72.45100286916275
gamut_002_mymyy,gamut_020_ccmcm,40.69016028958905,71.70327568039177
gamut_002_mymyy,gamut_021_cm,40.287269619990944,69.52184153386031
gamut_002_mymyy,gamut_022_cmcmm,39.87080184670454,68.20493803096234
gamut_002_mymyy,gamut_023_cmm,39.5365691254893,66.86625746856274
gamut_002_mymyy,gamut_024_mcmm,38.73447951767348,64.04385444152224
gamut_002_mymyy,gamut_025_mmcmm,38.356742601429836,63.32580090631761
