condition,palette_family,threshold_deltaE00,distinguishable_count,n_colors,merged_region_count
full,CMY,2.0,51,55,4
full,CMY,5.0,23,55,32
full,CMY,10.0,3,55,52
full,CMY+OVG,2.0,152,495,343
full,CMY+OVG,5.0,9,495,486
full,CMY+OVG,10.0,1,495,494
full,CMY+neutral,2.0,298,660,362
full,CMY+neutral,5.0,28,660,632
full,CMY+neutral,10.0,1,660,659
two_color,CMY,2.0,30,30,0
two_color,CMY,5.0,12,30,18
two_color,CMY,10.0,3,30,27
two_color,CMY+OVG,2.0,69,270,201
two_color,CMY+OVG,5.0,13,270,257
two_color,CMY+OVG,10.0,3,270,267
two_color,CMY+neutral,2.0,98,360,262
two_color,CMY+neutral,5.0,11,360,349
two_color,CMY+neutral,10.0,2,360,358
full,CMY+neutral+OVG,2.0,393,1210,817
full,CMY+neutral+OVG,5.0,22,1210,1188
full,CMY+neutral+OVG,10.0,1,1210,1209
two_color,CMY+neutral+OVG,2.0,161,660,499
two_color,CMY+neutral+OVG,5.0,17,660,643
two_color,CMY+neutral+OVG,10.0,2,660,658
