specimen_id,source_filename,condition,condition_label,orientation,orientation_label,scale,replicate,primary_analysis,analysis_status,raw_point_count,curve_plot_point_count,gauge_width_mm,gauge_thickness_mm,gauge_area_mm2,initial_grip_separation_mm,peak_force_n,peak_time_s,crosshead_travel_at_peak_mm,crosshead_strain_at_peak,crosshead_strain_at_peak_percent,release_time_s,crosshead_travel_at_release_mm,crosshead_strain_at_release,crosshead_strain_at_release_percent,crosshead_work_density_to_peak_mj_m3,crosshead_work_density_to_release_mj_m3,ultimate_tensile_strength_mpa
pink_laying_1,pink_laying_1.xlsx,magenta,Magenta single-color control,flat,"Flat, half-scale",half,1,yes,Primary analysis,284,277,3.06,2.07,6.3342,40.0,219.1,31.251,2.6042,0.06511,6.511,69.000,5.7500,0.14375,14.375,1.09471,2.76018,34.590
pink_laying_2,pink_laying_2.xlsx,magenta,Magenta single-color control,flat,"Flat, half-scale",half,2,yes,Primary analysis,428,422,3.06,2.07,6.3342,40.0,220.7,28.500,2.3750,0.05937,5.938,105.250,8.7708,0.21927,21.927,0.96530,3.29040,34.843
pink_laying_3,pink_laying_3.xlsx,magenta,Magenta single-color control,flat,"Flat, half-scale",half,3,yes,Primary analysis,244,235,3.06,2.07,6.3342,40.0,223.6,26.250,2.1875,0.05469,5.469,58.500,4.8750,0.12187,12.188,0.92547,2.49756,35.300
pink_laying_4,pink_laying_4.xlsx,magenta,Magenta single-color control,flat,"Flat, half-scale",half,4,yes,Primary analysis,484,481,3.06,2.07,6.3342,40.0,215.8,28.500,2.3750,0.05937,5.938,120.000,10.0000,0.25000,25.000,0.99858,3.56803,34.069
pink_laying_5,pink_laying_5.xlsx,magenta,Magenta single-color control,flat,"Flat, half-scale",half,5,yes,Primary analysis,210,203,3.06,2.07,6.3342,40.0,230.9,29.500,2.4583,0.06146,6.146,50.500,4.2083,0.10521,10.521,1.02945,2.09277,36.453
pink_standing_1,pink_standing_1.xlsx,magenta,Magenta single-color control,upright,"Upright, full-scale",full,1,no,Chronological familiarization; excluded from primary analysis,151,147,6.00,4.13,24.7800,90.0,360.7,36.250,3.0208,0.03356,3.356,36.500,3.0417,0.03380,3.380,0.23229,0.23400,14.556
pink_standing_2,pink_standing_2.xlsx,magenta,Magenta single-color control,upright,"Upright, full-scale",full,2,no,Chronological familiarization; excluded from primary analysis,140,139,6.00,4.13,24.7800,90.0,357.9,34.250,2.8542,0.03171,3.171,34.500,2.8750,0.03194,3.194,0.22543,0.22712,14.443
pink_standing_3,pink_standing_3.xlsx,magenta,Magenta single-color control,upright,"Upright, full-scale",full,3,yes,Primary analysis,162,159,6.00,4.13,24.7800,90.0,404.8,39.250,3.2708,0.03634,3.634,39.500,3.2917,0.03657,3.657,0.29685,0.29877,16.336
pink_standing_4,pink_standing_4.xlsx,magenta,Magenta single-color control,upright,"Upright, full-scale",full,4,yes,Primary analysis,149,146,6.00,4.13,24.7800,90.0,369.4,36.000,3.0000,0.03333,3.333,36.250,3.0208,0.03356,3.356,0.24468,0.24642,14.907
pink_standing_5,pink_standing_5.xlsx,magenta,Magenta single-color control,upright,"Upright, full-scale",full,5,yes,Primary analysis,147,143,6.00,4.13,24.7800,90.0,370.6,35.250,2.9375,0.03264,3.264,35.500,2.9583,0.03287,3.287,0.24014,0.24190,14.956
