number,label,filename,valid_gallery,main_figure,dropped_reason
4648,ccg,DSC_4648ccg.tif,True,True,
4649,m,DSC_4649m.tif,True,True,
4651,cww,DSC_4651cww.tif,True,True,
4653,c,DSC_4653c.tif,True,True,
4655,cmw,DSC_4655cmw.tif,True,True,
4658,myy,DSC_4658myy.tif,True,True,
4659,y,DSC_4659y.tif,True,True,
4661,yww,DSC_4661yww.tif,True,True,
4663,mgy,DSC_4663mgy.tif,True,True,
4666,mw,DSC_4666mw.tif,True,True,
4667,cyg,DSC_4667cyg.tif,True,True,
4669,cyyy,DSC_4669cyyy.tif,True,True,
4672,cygy,DSC_4672cygy.tif,True,True,
4673,my,DSC_4673my.tif,True,True,
4676,myyy,DSC_4676myyy.tif,True,True,
4677,mg,DSC_4677mg.tif,True,True,
4679,cmcmm,DSC_4679cmcmm.tif,True,True,
4680,mwy,DSC_4680mwy.tif,True,True,
4681,mmy,DSC_4681mmy.tif,True,True,
4683,ccycy,DSC_4683ccycy.tif,True,True,
4685,yyg,DSC_4685yyg.tif,True,True,
4687,ccy,DSC_4687ccy.tif,True,True,
4689,cyy,DSC_4689cyy.tif,True,True,
4692,cycw,DSC_4692cycw.tif,True,True,
4693,cmcg,DSC_4693cmcg.tif,True,True,
4697,cwyw,DSC_4697cwyw.tif,True,True,
4698,cmycy,DSC_4698cmycy.tif,True,True,
4700,cmcmym,DSC_4700cmcmym.tif,True,False,duplicate label or visually redundant long CMY variant
4702,cmcy,DSC_4702cmcy.tif,True,True,
4704,cycyy,DSC_4704cycyy.tif,True,True,
4706,ccwcw,DSC_4706ccwcw.tif,True,True,
4709,cmcmy,DSC_4709cmcmy.tif,False,False,excluded duplicate/misprinted capture identified by visual inspection
4710,cmmym,DSC_4710cmmym.tif,True,True,
4713,mmymy,DSC_4713mmymy.tif,True,True,
4715,yywyw,DSC_4715yywyw.tif,True,True,
4721,cmmm,DSC_4721cmmm.tif,True,True,
4722,cmcmcy,DSC_4722cmcmcy.tif,False,False,excluded duplicate/misprinted capture identified by visual inspection
4724,cgcgg,DSC_4724cgcgg.tif,True,True,
4726,cwcww,DSC_4726cwcww.tif,True,True,
4729,cccm,DSC_4729cccm.tif,True,True,
4731,mgmgg,DSC_4731mgmgg.tif,True,True,
4732,mmgmg,DSC_4732mmgmg.tif,True,True,
4734,mmwmw,DSC_4734mmwmw.tif,True,True,
4736,mmw,DSC_4736mmw.tif,True,True,
4739,mmmy,DSC_4739mmmy.tif,True,True,
4741,cmy,DSC_4741cmy.tif,True,True,
4743,cwy,DSC_4743cwy.tif,True,True,
4745,cywy,DSC_4745cywy.tif,True,True,
4747,cmymy,DSC_4747cmymy.tif,True,True,
4749,cycymy,DSC_4749cycymy.tif,True,False,duplicate label or visually redundant long CMY variant
4751,cmymym,DSC_4751cmymym.tif,True,False,duplicate label or visually redundant long CMY variant
4752,cymyy,DSC_4752cymyy.tif,True,True,
4754,mmg,DSC_4754mmg.tif,True,True,
4757,yygyg,DSC_4757yygyg.tif,True,True,
4758,cycg,DSC_4758cycg.tif,True,True,
4760,ccmcm,DSC_4760ccmcm.tif,True,True,
4763,yg,DSC_4763yg.tif,True,True,
4764,ygg,DSC_4764ygg.tif,True,True,
4766,cw,DSC_4766cw.tif,True,True,
4769,ccm,DSC_4769ccm.tif,True,True,
4771,mgg,DSC_4771mgg.tif,True,True,
4772,cymymy,DSC_4772cymymy.tif,True,False,duplicate label or visually redundant long CMY variant
4775,cmcycy,DSC_4775cmcycy.tif,True,False,duplicate label or visually redundant long CMY variant
4776,yyw,DSC_4776yyw.tif,True,True,
4779,mymg,DSC_4779mymg.tif,True,True,
4780,cmgm,DSC_4780cmgm.tif,True,True,
4782,cmcmcy,DSC_4782cmcmcy.tif,True,True,
4784,cmm,DSC_4784cmm.tif,True,True,
4786,cgg,DSC_4786cgg.tif,True,True,
4787,ygygg,DSC_4787ygygg.tif,True,True,
4789,cy,DSC_4789cy.tif,True,True,
4792,cmcmy,DSC_4792cmcmy.tif,True,True,
4794,ccw,DSC_4794ccw.tif,True,True,
4796,cmym,DSC_4796cmym.tif,True,True,
4798,cymy,DSC_4798cymy.tif,True,True,
4799,cm,DSC_4799cm.tif,True,True,
4801,mww,DSC_4801mww.tif,True,True,
4803,cg,DSC_4803cg.tif,True,True,
4805,ccgcg,DSC_4805ccgcg.tif,True,True,
4807,cmg,DSC_4807cmg.tif,True,True,
4809,cmmymm,DSC_4809cmmymm.tif,True,True,
4811,cyymyy,DSC_4811cyymyy.tif,True,False,duplicate label or visually redundant long CMY variant
4813,cmwm,DSC_4813cmwm.tif,True,True,
4816,cccy,DSC_4816cccy.tif,True,True,
4820,ccmcy,DSC_4820ccmcy.tif,True,True,
4822,mymw,DSC_4822mymw.tif,True,True,
4823,mymyy,DSC_4823mymyy.tif,True,True,
4825,ccmccy,DSC_4825ccmccy.tif,True,True,
4827,yw,DSC_4827yw.tif,True,True,
4830,cmmymm,DSC_4830cmmymm.tif,False,False,excluded duplicate/misprinted capture identified by visual inspection
